[0.01380202],[0.00131083],[0.03901141],[0.05573519],[0.00371646],[0.0018859],[2.7515473e-05],[0.97863921],[0.00421687],[0.02189379]
[0.00037189],[0.0013415],[0.00060404],[0.01189049],[0.92473302],[0.05396919],[0.00305087],[0.01200309],[0.03876402],[0.07043313]
[0.00093566],[0.00209654],[0.01524717],[0.00027969],[0.91929872],[0.00095355],[0.0376591],[0.03114745],[0.00960403],[0.12921602]
[0.03492095],[0.00199341],[0.01271868],[0.00320019],[0.00761033],[0.04634756],[0.96674593],[0.00033434],[0.0057821],[0.01069445]
[0.00857874],[0.00067188],[0.03200893],[0.77571232],[0.00169517],[0.02656016],[0.0014045],[0.0185521],[0.00126956],[0.00129451]
[0.06241754],[0.00177707],[0.00013697],[0.00410329],[0.20196372],[0.67125085],[0.01902379],[0.00249417],[0.00223137],[0.01608595]
[0.01095532],[0.00409344],[0.00221429],[0.01536535],[0.06650077],[0.6524461],[0.01438608],[0.00200729],[0.0327579],[0.00116242]
[0.00253708],[0.00420262],[0.32386815],[0.00052518],[0.04406097],[0.0010228],[0.38564868],[0.00217957],[0.02472874],[0.00385499]
[0.82319824],[4.19831533e-05],[0.00387636],[0.0025434],[0.00154129],[0.1423122],[0.01802221],[0.00136539],[0.22865849],[0.00390424]
[0.00172196],[0.0006452],[0.01002246],[0.00085835],[0.9885891],[0.02458772],[0.04180065],[0.00603968],[0.01673174],[0.00861849]
[0.00028013],[0.90039345],[0.0328183],[0.04491551],[0.00172093],[0.00281735],[0.00793144],[0.05143384],[0.00804341],[0.01108717]
[0.00137514],[0.00086244],[0.00068247],[0.00033532],[0.11026882],[0.00097119],[0.01418468],[0.07589034],[0.00373228],[0.87946488]
[0.08385022],[0.01287891],[0.00139239],[0.00167317],[0.02898666],[0.81963166],[0.00240107],[0.12144405],[0.00754903],[0.0001943]
[0.00226695],[0.00241538],[0.00334866],[0.04630271],[0.00445146],[0.0085593],[0.0002094],[0.99190212],[0.00156738],[0.00609379]
[0.04920838],[0.00034542],[0.19493968],[0.00062408],[0.00377467],[0.01693563],[0.00656288],[0.00057092],[0.75589957],[0.06068725]
[0.00201427],[0.00093012],[0.0037032],[0.00077835],[0.26182064],[0.06239644],[0.02749285],[0.00932069],[0.02963993],[0.56310645]
[0.0095022],[0.00561185],[0.25710299],[0.53626767],[0.00392409],[0.00619764],[0.00422468],[0.00058946],[0.06322891],[0.02026425]
[0.0031468],[0.00437353],[0.29053906],[0.0542393],[0.01144795],[0.00027712],[9.85902024e-05],[0.93269336],[0.0015674],[0.01024249]
[0.00111812],[0.00342327],[0.00034819],[0.05123705],[0.77544158],[0.18036388],[0.01759986],[0.00394799],[0.03183276],[0.1179348]
[0.00644051],[0.03971539],[0.27870047],[0.00997161],[0.024574],[0.00211335],[0.09375325],[0.06705991],[0.00104907],[7.11678771e-05]
[0.00471141],[0.00223342],[0.01567405],[0.00029786],[0.96990591],[0.00197895],[0.01180118],[0.05476884],[0.00566907],[0.01405726]
[0.00444965],[0.0053316],[0.00513121],[0.97985744],[0.00324125],[0.02647266],[0.00031334],[0.00598092],[0.03191128],[0.00119879]
[0.91799466],[0.00020452],[0.08613369],[0.00329108],[9.82099351e-05],[0.14213148],[0.02037668],[0.01410258],[0.0017739],[0.00023611]
[0.03843092],[0.00148261],[0.01196672],[0.03712552],[0.00261614],[0.00094817],[0.00011937],[0.99188897],[0.00234118],[0.00542476]
[0.97302436],[5.71996534e-05],[0.03989184],[0.00184996],[0.00079453],[0.02899579],[0.00539171],[0.0036824],[0.00413172],[0.00021913]
[0.08952977],[0.00082756],[0.71794042],[0.10527724],[0.00337287],[0.00705091],[0.00891515],[0.00410025],[0.00276883],[1.50703486e-05]
[0.00066337],[0.0438214],[0.00193025],[0.04041329],[0.00022743],[0.00465032],[0.00011747],[0.58193059],[0.10207369],[0.57797971]
[4.12108752e-05],[0.9562372],[0.01034976],[0.02124285],[0.00066027],[0.04658305],[0.03807467],[0.01488352],[0.05957245],[0.03267883]
[7.91359839e-05],[0.17433181],[0.02151088],[0.00572501],[0.06804504],[0.00291227],[0.00015549],[0.93762758],[0.02317563],[0.01928988]
[0.00797511],[0.03315601],[0.00327465],[0.93101349],[0.00621997],[0.09580973],[0.00143607],[0.00314299],[0.00837908],[0.00081892]
[0.00214348],[0.00326565],[0.21189469],[0.00335965],[0.00175488],[0.00450981],[0.00482721],[0.71382997],[0.00275111],[0.07156207]
[0.00049832],[0.04458842],[0.00035488],[0.01858618],[0.01160957],[0.01687525],[0.00377794],[0.03596848],[0.14520712],[0.73884151]
[0.00923296],[0.00227388],[0.00329606],[0.00946601],[0.00102773],[0.00377121],[8.60256117e-05],[0.99210234],[0.01240407],[0.06205643]
[0.00398819],[0.00021082],[0.00036806],[0.00744014],[0.02446756],[0.05815262],[0.00259822],[0.35317072],[0.00281958],[0.33138551]
[0.01608757],[0.00019042],[0.05368118],[0.00014183],[0.01951965],[0.01845845],[0.80946251],[0.00325427],[0.00266061],[0.00751997]
[0.00310318],[0.00520074],[0.99441232],[0.00865752],[0.00333058],[0.00164471],[0.02197895],[0.0017055],[0.04652137],[0.00119852]
[0.00361157],[0.00087895],[0.0022537],[0.01083791],[0.00841717],[0.00844931],[0.00030324],[0.92129009],[0.00361247],[0.09532134]
[0.00101114],[0.01589318],[0.01717485],[0.00069745],[0.16892974],[0.34965302],[0.00349853],[0.00127969],[0.58463806],[0.00739248]
[0.00022717],[0.00366976],[0.00056851],[0.00934823],[0.98105265],[0.039408],[0.00943857],[0.00648783],[0.01424842],[0.03132537]
[0.00112921],[0.00915994],[0.02578056],[0.00656878],[0.00141803],[0.00159092],[4.62925349e-05],[0.98375682],[0.02130902],[0.03414672]
[0.00283649],[0.00109844],[0.00078064],[0.36988111],[0.01484671],[0.44198851],[0.01376142],[0.006637],[0.01167131],[0.00706353]
[0.00883782],[0.00036394],[0.05948034],[5.06607103e-05],[0.07336607],[0.002654],[0.97102554],[0.00474504],[0.00175568],[0.02598843]
[0.00010241],[0.96323277],[0.04939961],[0.02622281],[0.00505305],[0.00245171],[0.02955437],[0.01857548],[0.02108671],[0.00205987]
[0.01327315],[0.0188074],[0.0027336],[0.95562662],[0.00144165],[0.0709396],[9.54973797e-05],[0.02785697],[0.00630614],[0.00073157]
[0.00172038],[0.00909365],[0.02560118],[0.00018022],[0.03777503],[0.02469766],[0.98349854],[0.00030084],[0.00710949],[0.01703713]
[0.00120988],[0.01139237],[0.01057398],[0.0034086],[0.21022173],[0.01898629],[0.00649452],[0.01276758],[0.07876636],[0.21165138]
[0.00422345],[0.0047232],[0.00073669],[0.93864861],[0.00110263],[0.07308818],[0.00017985],[0.07676388],[0.01172073],[0.00581972]
[1.05093423e-05],[0.8460426],[0.03037903],[0.03454799],[0.00276514],[0.02523867],[0.05164812],[0.00497171],[0.12591384],[0.0344124]
[0.00081161],[0.01195481],[0.00171515],[8.10933702e-05],[0.96118635],[0.00064782],[0.03142494],[0.0262159],[0.00364497],[0.04466868]
[7.08100203e-05],[0.5886038],[0.00374537],[0.06636192],[0.00354369],[0.24326194],[0.00923536],[0.03013174],[0.02660665],[0.04512847]
[8.79801844e-05],[0.25030985],[0.02233637],[0.05432183],[0.00291887],[0.00307925],[0.00261942],[0.48183517],[0.01176944],[0.07573731]
[0.05439639],[0.00259731],[0.04690318],[3.12338679e-05],[0.00552648],[0.18677684],[0.92852548],[0.0005337],[0.0041491],[0.00135092]
[0.0002314],[0.001061],[0.0068193],[0.00046385],[0.04081557],[0.00041022],[0.0067382],[0.0939523],[0.0316887],[0.96729662]
[0.00402462],[0.00554323],[0.11650208],[0.00021654],[0.04593275],[0.00218829],[0.80148859],[0.00241485],[0.01272792],[0.00532248]
[0.94694731],[8.68297857e-05],[0.02297859],[0.00094763],[0.00124549],[0.07042615],[0.00308691],[0.00339168],[0.01588505],[0.0011314]
[0.00952263],[0.00140092],[7.72511323e-05],[0.06486623],[0.00518726],[0.97716676],[0.00248437],[0.02309334],[0.03881786],[0.02451673]
[0.00225249],[0.00141591],[0.0104883],[0.00081262],[0.97902059],[0.01140655],[0.02376248],[0.0115634],[0.00262887],[0.01305499]
[0.00219261],[0.00069713],[0.01370673],[0.001494],[0.11662211],[0.08414702],[0.01965703],[0.00494971],[0.00630703],[0.46449212]
[0.00061936],[0.00106791],[0.007162],[0.00029482],[0.10245275],[0.00211198],[0.01404235],[0.02484555],[0.0130368],[0.89968293]
[0.02550553],[0.00078896],[0.9235225],[0.05454093],[0.01319972],[0.00387294],[0.01254915],[0.00392568],[0.00817434],[5.89466018e-05]
[0.00337082],[0.79478985],[0.03675355],[0.0188877],[0.00138583],[0.00977602],[0.02766779],[0.0062861],[0.07909168],[0.00150343]
[0.00059987],[0.00100779],[2.45608604e-05],[0.04123919],[0.09723279],[0.13319411],[0.01189557],[0.01614215],[0.01293103],[0.83305866]
[0.00158544],[0.00111933],[0.00957858],[0.00014474],[0.88113744],[0.00652635],[0.0181114],[0.07161825],[0.00382866],[0.09555661]
[0.00509818],[0.01371793],[0.02028254],[0.26591235],[0.00216288],[0.05006284],[0.00068049],[0.00185464],[0.7647019],[0.00180917]
[0.0002059],[0.40087594],[0.04997338],[0.0705498],[0.0003099],[0.00137212],[0.00056023],[0.52903238],[0.01640312],[0.04760145]
[0.00968307],[0.00602239],[0.00431145],[0.84248048],[0.00411787],[0.25531637],[0.00349951],[0.00202772],[0.02118533],[0.0018703]
[9.51260196e-05],[0.00317508],[0.00334116],[0.0005886],[0.04576642],[0.00142424],[0.00355119],[0.05500297],[0.03996533],[0.94836477]
[8.49928616e-05],[0.02020077],[0.36131455],[0.00301235],[0.01342498],[0.00178035],[0.00353392],[0.59189533],[0.01090493],[0.0876396]
[0.00064592],[0.0026523],[0.00848917],[8.86377725e-05],[0.61919907],[0.00999016],[0.06293671],[0.00749884],[0.04202985],[0.40497223]
[0.00012512],[0.0106679],[0.00175772],[0.01063542],[0.75236199],[0.02753796],[0.00615119],[0.00712234],[0.08907006],[0.22210899]
[0.00060998],[0.00394518],[0.01191576],[0.00039868],[0.9894665],[0.01120659],[0.06579506],[0.0019822],[0.02981705],[0.02216591]
[0.00187722],[0.00097058],[0.00364008],[0.00029486],[0.15998085],[0.00498235],[0.00847851],[0.05299636],[0.01268902],[0.78731396]
[0.00826316],[0.00024913],[0.17994518],[0.00017235],[0.00286878],[0.01424051],[0.01397239],[0.02893569],[0.10845145],[0.06826573]
[0.0056761],[0.00112178],[0.00054573],[0.32235938],[0.01993519],[0.79775656],[0.00425138],[0.00064415],[0.0575666],[0.00694294]
[0.02536628],[0.00031861],[0.07633972],[1.70045701e-05],[0.31860463],[0.0020819],[0.10522242],[0.02478909],[0.06265086],[0.08883857]
[0.00083144],[0.0045629],[0.03971416],[0.1029069],[0.01585246],[0.00652509],[0.00025148],[0.89547627],[0.00173539],[0.02724032]
[0.00353307],[0.00154669],[0.04094223],[0.00022881],[0.02318809],[0.00914834],[0.92874995],[0.00130906],[0.00604211],[0.02415551]
[0.00039285],[0.00705333],[0.00012303],[0.01507532],[0.78269139],[0.01010043],[0.00367488],[0.28980962],[0.01138533],[0.19096894]
[0.00016039],[0.0051187],[0.01951658],[0.00147399],[0.17556568],[0.00321906],[0.01019404],[0.00584188],[0.03849233],[0.76761733]
[0.29786937],[0.00040871],[0.28716988],[0.13705832],[0.00031919],[0.00053961],[0.00171074],[0.04939807],[0.00196994],[0.00029772]
[0.02735706],[0.00188698],[0.00023065],[0.00235135],[0.01844145],[0.95620849],[0.00509379],[0.003492],[0.03200902],[0.00658287]
[0.00148179],[0.00341094],[0.01040123],[0.03920772],[0.00310919],[0.13620615],[0.00034819],[0.00641749],[0.95228034],[0.02726165]
[0.02926925],[0.0008292],[0.00047544],[0.0726143],[0.01943903],[0.90620192],[0.00293518],[0.00134908],[0.0118927],[0.0304037]
[0.00508702],[0.00153346],[0.02667735],[2.81662428e-05],[0.02262632],[0.00551048],[0.98493186],[0.00080239],[0.00406515],[0.03174477]
[0.00998142],[0.00214272],[0.04198678],[1.54603117e-05],[0.00466401],[0.02620085],[0.9841944],[0.00029898],[0.0017466],[0.00984899]
[0.04765065],[0.00054652],[0.00429764],[0.02955054],[0.00032312],[0.86064642],[0.03865573],[0.0003057],[0.0615098],[0.00077013]
[0.00173733],[0.00198092],[0.47859439],[0.00905809],[0.01172004],[9.50286981e-05],[0.00019266],[0.73384551],[0.00777244],[0.03026429]
[0.0022625],[0.0112479],[0.0244867],[0.03214544],[0.00161348],[0.10931404],[0.0006728],[0.00289586],[0.97829065],[0.00351055]
[3.98078819e-05],[0.94049693],[0.03256209],[0.06817021],[0.00082224],[0.00455865],[0.0415819],[0.01116281],[0.03497354],[0.02132731]
[0.91925808],[6.09654621e-05],[0.02500814],[0.0024189],[0.00117944],[0.09594679],[0.00887676],[0.00208368],[0.01684557],[0.0004707]
[0.00020752],[0.94096117],[0.02851894],[0.04461801],[0.00108343],[0.00179006],[0.0406798],[0.01725169],[0.05691905],[0.00449021]
[0.01099465],[0.00104576],[0.04285691],[4.58827934e-05],[0.02187008],[0.00688351],[0.98212788],[0.00119242],[0.0018456],[0.01540439]
[0.00360955],[0.00068246],[0.04375536],[2.21151712e-05],[0.54019426],[0.00089399],[0.0398795],[0.02875443],[0.10243164],[0.27712916]
[0.01254319],[0.00349042],[0.01547938],[0.00023239],[0.02951329],[0.07691218],[0.89662568],[0.00084422],[0.00976957],[0.0068787]
[0.00654964],[0.00230487],[0.01862035],[0.06939669],[0.0055589],[0.00319378],[4.80321716e-05],[0.97985257],[0.00239251],[0.01265529]
[0.00080802],[0.00431619],[0.29365813],[0.37745321],[0.02387148],[0.001378],[2.65513848e-05],[0.22807321],[0.00365662],[0.00708474]
[0.00014485],[0.95390392],[0.04907217],[0.01769854],[0.00057832],[0.00653841],[0.04456113],[0.02250935],[0.01217914],[0.00908738]
[0.00112084],[0.00313728],[0.11115645],[0.0004169],[0.00946801],[0.00066698],[0.0021051],[0.78786318],[0.01232763],[0.19180127]
[6.07390685e-05],[0.93111279],[0.0083239],[0.02265369],[0.00139843],[0.12391503],[0.03339158],[0.01688327],[0.01494909],[0.02150519]
[0.00986836],[0.0024835],[0.05235435],[0.00128906],[0.00896742],[0.01590871],[0.00238549],[0.00162766],[0.94002362],[0.01795787]
[0.00447232],[0.00687591],[0.99186235],[0.01340162],[0.03204907],[0.00173559],[0.02165761],[0.0011015],[0.01720692],[0.00036391]
[0.93959653],[7.13943242e-05],[0.01339589],[0.00195046],[0.0007879],[0.10963533],[0.02396462],[0.00169494],[0.01228121],[0.00133898]
[0.00026291],[0.03522348],[0.00535794],[0.00344624],[0.172915],[0.0160344],[0.0156614],[0.00194143],[0.03321831],[0.38931806]
[0.00081044],[0.00133762],[0.00582533],[0.00229198],[0.24451721],[0.01821592],[0.01304896],[0.00382083],[0.05122906],[0.67434163]
[0.01007141],[0.00082994],[0.09820159],[0.00902516],[0.01849842],[0.00045396],[0.00022522],[0.02560702],[0.06104233],[0.19027]
[0.11634327],[0.00077571],[0.00339901],[0.00104581],[0.07149358],[0.85501293],[0.00225761],[0.00408355],[0.02515956],[0.004378]
[0.04027664],[0.00292419],[0.0052596],[0.13985827],[0.00070377],[0.61349728],[0.00105664],[0.00188889],[0.12012345],[0.02359634]
[5.27572331e-05],[0.80602066],[0.02943028],[0.05294405],[0.00285666],[0.01162968],[0.01222281],[0.03937359],[0.00865881],[0.05236966]
[0.00721665],[0.00389852],[4.20080955e-05],[0.00307906],[0.27561932],[0.92598164],[0.08894273],[0.00014243],[0.00988334],[0.05643797]
[0.0062545],[0.0004469],[0.03347999],[0.0001348],[0.29726328],[0.03305237],[0.88363411],[0.00428993],[0.00107748],[0.00974466]
[0.88043577],[3.13542143e-05],[0.01944335],[0.0007806],[0.00076884],[0.04898314],[0.04051937],[0.0038429],[0.01006334],[0.00433163]
[0.05448798],[0.00305687],[0.15419703],[0.44045104],[0.00025344],[0.00453822],[0.00358641],[0.09423257],[0.00049378],[0.00012658]
[0.00044103],[0.01363655],[0.00268913],[0.00248597],[0.43421228],[0.0222773],[0.03952037],[0.01867552],[0.00566122],[0.23574148]
[0.00011599],[0.00763924],[0.00559967],[0.0009675],[0.98167362],[0.05116731],[0.00784587],[0.00874401],[0.05971351],[0.02799936]
[0.03912598],[0.00218612],[0.05676331],[6.34663574e-05],[0.00745406],[0.04612996],[0.97085137],[0.00034963],[0.00033068],[0.00565349]
[0.06713169],[0.00059174],[0.00100903],[0.06939509],[0.00679116],[0.98267735],[0.00135878],[0.00066526],[0.10475526],[0.00127684]
[0.00041556],[0.00362924],[0.00297289],[0.00561662],[0.9596812],[0.00285962],[0.00304567],[0.0816323],[0.00512207],[0.04182475]
[0.00226549],[0.00245542],[0.04512552],[8.85886658e-05],[0.24012225],[0.00290686],[0.92294062],[0.00354299],[0.01107721],[0.01896571]
[0.03771117],[0.0007068],[0.00151257],[0.01735545],[0.00434401],[0.81762871],[0.03212163],[0.00018982],[0.19199289],[0.00159749]
[0.0069856],[0.00026099],[0.03311205],[0.00058976],[0.83444652],[0.01654609],[0.00680653],[0.04281388],[0.01546717],[0.05035105]
[0.00403917],[0.06081343],[0.00160806],[0.14074977],[0.37866485],[0.54071253],[0.01118204],[0.00420166],[0.00177481],[0.00168066]
[5.16890364e-05],[0.96555348],[0.01453665],[0.02255327],[0.00047085],[0.04452297],[0.05386922],[0.01656131],[0.01416401],[0.02204752]
[0.0008248],[0.00236881],[0.00016872],[0.0365159],[0.95167856],[0.05005591],[0.01437244],[0.00960455],[0.00571091],[0.09412043]
[0.00064347],[0.00250726],[0.00122515],[0.00166287],[0.91853422],[0.14773886],[0.01370291],[0.00308774],[0.02540147],[0.05000836]
[0.00262732],[0.01919078],[0.2585198],[0.0360896],[0.0001897],[0.00054631],[5.4058327e-05],[0.84594908],[0.00448374],[0.0403874]
[0.14979598],[0.00397146],[0.36249477],[0.23432075],[0.00218684],[0.09100124],[0.0007559],[0.00074438],[0.0418885],[2.61113417e-05]
[0.06061835],[0.00213463],[0.00557937],[0.75324094],[0.00851219],[0.02376238],[0.00048491],[0.01198152],[0.01756611],[0.00103145]
[0.00825212],[0.00388931],[0.98170903],[0.0041236],[0.00724334],[0.00125066],[0.01793111],[0.002368],[0.06967647],[0.00139265]
[0.00072096],[0.14521009],[0.03174321],[0.05380912],[0.00763818],[0.01259761],[0.00079148],[0.17496772],[0.01066388],[0.02901396]
[0.00015009],[0.93713577],[0.0120528],[0.01061069],[0.0007966],[0.05286523],[0.05793321],[0.01316175],[0.01148611],[0.02005639]
[0.0082034],[0.00140801],[0.03247594],[0.00431759],[0.04014493],[0.05056617],[0.00605941],[0.00098349],[0.85485106],[0.02602538]
[5.59951171e-05],[0.95843244],[0.02248855],[0.07639888],[0.00139716],[0.0040144],[0.01764293],[0.02787628],[0.00957008],[0.02025553]
[0.00498447],[0.01508903],[0.0606499],[0.01170542],[0.00127206],[0.18151535],[0.00158497],[0.00129474],[0.96951316],[0.00117856]
[6.57115677e-05],[0.92518805],[0.02121955],[0.10471665],[0.00172426],[0.00728547],[0.0061857],[0.04486987],[0.01529528],[0.02225299]
[0.00085277],[0.02953166],[0.18835438],[0.01132278],[0.00478249],[0.01649753],[0.02654723],[0.00054486],[0.9370722],[0.00347576]
[0.01876525],[0.00295052],[0.00162904],[0.00308068],[0.0100197],[0.86667164],[0.00924544],[0.00340552],[0.22081817],[0.02205759]
[0.87955429],[0.00047692],[0.07505467],[0.01540941],[0.00055838],[0.08182564],[0.00521496],[0.0045514],[0.00242209],[1.59727797e-05]
[0.00443681],[0.03342937],[0.00605159],[0.0988392],[0.00733733],[0.0247046],[0.00942718],[0.00168721],[0.38561822],[0.00069386]
[0.00089302],[0.00095488],[0.00430662],[7.09055759e-05],[0.28678409],[0.00090157],[0.05526224],[0.01671813],[0.02475815],[0.89628598]
[0.0059184],[0.00739719],[0.95912144],[0.23727246],[0.00032918],[0.00234221],[0.00480854],[0.00287939],[0.04698609],[0.00030121]
[0.0568302],[0.00161372],[0.00695508],[0.18027419],[0.00784138],[0.69402545],[0.0014798],[0.00026202],[0.19958284],[0.0114029]
[0.98923833],[7.28641963e-05],[0.00399007],[0.00513146],[0.00064404],[0.07114575],[0.0026761],[0.00627143],[0.01145661],[0.00074936]
[0.00014695],[0.7140756],[0.01243558],[0.06493946],[0.00352024],[0.17325406],[0.02267272],[0.00923303],[0.01010775],[0.01161716]
[0.00013375],[0.93873071],[0.01816796],[0.03603534],[0.00248614],[0.00114531],[0.00448044],[0.08506605],[0.06820704],[0.00450498]
[6.89598829e-05],[0.45773014],[0.00382035],[0.04704572],[0.01368354],[0.3374508],[0.02582965],[0.00700206],[0.02047428],[0.01383453]
[0.97049875],[0.00027277],[0.00747106],[0.01785048],[0.00617055],[0.07875798],[0.00878944],[0.00429891],[0.00093458],[0.00054148]
